"Scientific_Name";"Duration";"Active_Growth_Period";"Foliage_Color";"pH_Min";"pH_Max";"Precip_Min";"Precip_Max";"Shade_Tolerance";"Temp_Min_F"
"Acer rubrum var. rubrum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Acer rubrum var. trilobum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Acer saccharinum";"Perennial";"Spring and Summer";"Green";4;7,3;20;70;"Intermediate";-47
"Acer saccharum";"Perennial";"Spring and Summer";"Green";3,7;7,9;22;80;"Tolerant";-47
"Acer saccharum var. saccharum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Acer spicatum";"Perennial";"Spring and Summer";"Green";4,8;7;30;70;"Tolerant";-47
"Achillea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Achillea millefolium";"Perennial";"Spring";"Green";6;8;8;60;"Intermediate";-38
"Achillea millefolium var. occidentalis";"Perennial";"Spring";"Green";6;8;8;26;"Intermediate";-38
"Achyranthes";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Achyranthes aspera";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Achyranthes aspera var. pubescens";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Acinos";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acinos arvensis";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aconitum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aconitum uncinatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aconitum uncinatum ssp. muticum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aconitum uncinatum ssp. uncinatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Acorus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acorus calamus";"Perennial";"Spring and Summer";"Green";5,2;7,2;32;60;"Intolerant";-38
"Actaea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Actaea pachypoda";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Actaea podocarpa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Actaea racemosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Actaea racemosa var. racemosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Adiantum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adiantum aleuticum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Adiantum capillus-veneris";"Perennial";"Spring and Summer";"Green";6;8;10;60;"Tolerant";-33
"Adiantum pedatum";"Perennial";"Spring and Summer";"Dark Green";4,6;6,6;36;60;"Tolerant";-38
"Adlumia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Adlumia fungosa";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aegilops";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aegilops triuncialis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Aegopodium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aegopodium podagraria";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aeschynomene";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aeschynomene americana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aeschynomene virginica";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Aesculus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aesculus flava";"Perennial";"Spring and Summer";"Green";5;7;39;84;"Tolerant";-18
"Aesculus hippocastanum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aesculus ×hybrida";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis acuta";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis auriculata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis fasciculata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis linifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis maritima";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis maritima var. maritima";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis obtusifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis purpurea";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis setacea";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis skinneriana";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis tenuifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agalinis tenuifolia var. tenuifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agastache";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Agastache nepetoides";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Agastache scrophulariifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ageratina";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ageratina altissima";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ageratina altissima var. altissima";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ageratina aromatica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ageratina aromatica var. aromatica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ageratum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ageratum conyzoides";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Agrimonia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Agrimonia gryposepala";"Perennial";"Spring";"Green";4,5;7;15;55;"Intermediate";-43
"Agrimonia microcarpa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Agrimonia parviflora";"Perennial";"Spring and Summer";"Green";6;8;24;50;"Intermediate";-33
"Agrimonia pubescens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Agrimonia rostellata";"Perennial";"Spring";"Green";4,5;7;35;50;"Intermediate";-33
"Agrimonia striata";"Perennial";"Spring and Summer";"Green";5,5;7,5;8;45;"Tolerant";-43
"Agrostemma";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Agrostemma githago";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agrostis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Agrostis canina";"Perennial";"Spring and Summer";"Green";5;7,5;30;60;"Intolerant";-33
"Agrostis capillaris";"Perennial";"Spring and Summer";"Green";4,9;7,5;32;60;"Intolerant";-53
"Agrostis elliottiana";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Agrostis gigantea";"Perennial";"Spring and Summer";"Green";4,5;8;28;60;"Intolerant";-38
"Agrostis hyemalis";"Perennial";"Spring, Summer, Fall";"Green";5;7,5;20;45;"Intermediate";-33
"Agrostis perennans";"Perennial";"Spring, Summer, Fall";"Green";5,5;7,5;32;56;"Intermediate";-33
"Agrostis scabra";"Perennial";"Spring";"Green";6;8;14;60;"Intolerant";-38
"Agrostis stolonifera";"Perennial";"Spring and Summer";"Green";5,1;7,5;32;60;"Intolerant";-53
"Ailanthus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ailanthus altissima";"Perennial";"Spring and Summer";"Green";4,1;7,9;14;90;"Intolerant";-18
"Aira";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aira caryophyllea";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Aira caryophyllea var. caryophyllea";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Aira elegans";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Aira praecox";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Ajuga";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ajuga chamaepitys";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Ajuga genevensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ajuga reptans";"Perennial";"Spring, Summer, Fall";"Green";5,5;7,5;35;65;"Tolerant";-23
"Akebia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Akebia quinata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Albizia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Albizia julibrissin";"Perennial";"Spring and Summer";"White-Gray";4,8;7,3;30;60;"Intolerant";2
"Alcea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alcea rosea";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aletris";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aletris aurea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aletris farinosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Alisma";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alisma subcordatum";"Perennial";"Spring and Summer";"Green";5;7;35;60;"Intolerant";-33
"Alisma triviale";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Alliaria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alliaria petiolata";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Allium canadense";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium canadense var. canadense";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium cernuum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium cernuum var. cernuum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium sativum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium schoenoprasum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium schoenoprasum var. sibiricum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium tricoccum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium vineale";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Allium vineale ssp. vineale";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Alloteropsis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alloteropsis cimicina";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Alnus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alnus incana";"Perennial";"Spring and Summer";"Green";5;7;32;60;"Intermediate";-33
"Alnus incana ssp. rugosa";"Perennial";"Spring and Summer";"Dark Green";4,8;7,7;21;65;"Intermediate";-47
"Alnus maritima";"Perennial";"Spring and Summer";"Green";5;7;36;50;"Intermediate";2
"Alnus serrulata";"Perennial";"Spring and Summer";"Green";5;7;32;60;"Intolerant";-23
"Alopecurus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alopecurus aequalis";"Perennial";"Spring and Summer";"Green";5,5;8;18;45;"Intermediate";-38
"Alopecurus aequalis var. aequalis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Alopecurus carolinianus";"Annual";"Spring";"Green";4;7,5;15;60;"Intolerant";-43
"Alopecurus geniculatus";"Perennial";"Spring";"Green";4;7,5;20;45;"Intolerant";-43
"Alopecurus geniculatus var. geniculatus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Alopecurus myosuroides";"Annual";"Spring";"Green";4;7,5;35;55;"Intolerant";-28
"Alopecurus pratensis";"Perennial";"Spring and Summer";"Green";5,8;8;18;60;"Intolerant";-38
"Alternanthera";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alternanthera bettzichiana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Alternanthera caracasana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Alternanthera ficoidea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Alternanthera sessilis";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Althaea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Althaea officinalis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Alyssum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alyssum alyssoides";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus albus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus blitoides";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus blitum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus blitum var. emarginatus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus cannabinus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus cruentus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus deflexus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus hybridus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus palmeri";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus pumilus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus retroflexus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amaranthus spinosus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Ambrosia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ambrosia artemisiifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Ambrosia artemisiifolia var. elatior";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Ambrosia bidentata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Ambrosia trifida";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Ambrosia trifida var. trifida";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Amelanchier";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amelanchier arborea";"Perennial";"Spring and Summer";"Dark Green";4,8;7,5;26;80;"Tolerant";-47
"Amelanchier arborea var. arborea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amelanchier canadensis";"Perennial";"Spring and Summer";"Green";5,5;7,5;30;60;"Intermediate";-33
"Amelanchier humilis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amelanchier ×intermedia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amelanchier laevis";"Perennial";"Spring and Summer";"Green";4,8;7;34;60;"Tolerant";-38
"Amelanchier nantucketensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amelanchier obovalis";"Perennial";"Spring";"Dark Green";5;7;30;90;"Intolerant";-23
"Amelanchier sanguinea";"Perennial";"Spring and Summer";"Green";4,5;7,2;35;55;"Tolerant";-43
"Amelanchier sanguinea var. sanguinea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amelanchier stolonifera";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amianthium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amianthium muscitoxicum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ammannia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ammannia coccinea";"Annual";"Spring";"Green";4;5,9;16;60;"Intolerant";-38
"Ammannia latifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Ammophila";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ammophila arenaria";"Perennial";"Spring and Fall";"Green";6;8,5;30;60;"Intolerant";7
"Ammophila breviligulata";"Perennial";"Spring, Summer, Fall";"Green";5,8;7,8;35;60;"Intolerant";-28
"Amorpha";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amorpha fruticosa";"Perennial";"Spring and Summer";"Green";5;8,5;10;65;"Intolerant";-38
"Ampelopsis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ampelopsis arborea";"Perennial";"Summer";"Green";4;8;35;60;"Tolerant";-13
"Ampelopsis brevipedunculata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ampelopsis cordata";"Perennial";"Spring and Summer";"Green";5,2;7,4;32;60;"Tolerant";-8
"Amphicarpaea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphicarpaea bracteata";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amphicarpaea bracteata var. bracteata";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amphicarpaea bracteata var. comosa";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amphicarpum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amphicarpum purshii";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amsonia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Amsonia tabernaemontana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Amsonia tabernaemontana var. tabernaemontana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anagallis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anagallis arvensis";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anagallis arvensis ssp. arvensis";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anagallis minima";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Anaphalis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anaphalis margaritacea";"Perennial";"Spring and Summer";"Green";6;7,5;10;35;"Intermediate";-43
"Anchusa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anchusa arvensis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Anchusa azurea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Andropogon";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Andropogon gerardii";"Perennial";"Summer";"Green";6;7,5;12;55;"Intolerant";-46
"Andropogon glaucopsis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Andropogon glomeratus";"Perennial";"Summer";"Green";5;6,3;35;70;"Intolerant";-23
"Andropogon glomeratus var. glomeratus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Andropogon glomeratus var. hirsutior";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Andropogon gyrans";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Andropogon gyrans var. gyrans";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Andropogon ternarius";"Perennial";"Summer";"Green";4;7,5;20;60;"Tolerant";-18
"Andropogon ternarius var. ternarius";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Andropogon virginicus";"Perennial";"Summer";"Green";4,9;7;30;45;"Intolerant";-18
"Andropogon virginicus var. virginicus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anemone";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anemone canadensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anemone lancifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anemone quinquefolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anemone quinquefolia var. quinquefolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anemone virginiana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anemone virginiana var. virginiana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anethum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anethum graveolens";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Angelica";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Angelica atropurpurea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Angelica triquinata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Angelica venenosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Antennaria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Antennaria howellii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Antennaria howellii ssp. neodioica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Antennaria neglecta";"Perennial";"Spring and Summer";"Dark Green";5,5;7,5;11;60;"Intolerant";-38
"Antennaria parlinii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Antennaria parlinii ssp. fallax";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Antennaria parlinii ssp. parlinii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Antennaria plantaginifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Antennaria solitaria";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Antennaria virginica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anthemis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anthemis arvensis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Anthemis cotula";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Anthemis tinctoria";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anthoxanthum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anthoxanthum odoratum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anthoxanthum odoratum ssp. odoratum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Anthriscus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anthriscus sylvestris";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Apera";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apera spica-venti";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Aphanes";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aphanes microcarpa";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Apios";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apios americana";"Perennial";"Spring and Summer";"Green";6;7,5;28;55;"Tolerant";-23
"Aplectrum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aplectrum hyemale";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Apluda";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apluda mutica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Apocynum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Apocynum androsaemifolium";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Apocynum cannabinum";"Perennial";"Spring and Summer";"Green";4,5;7;15;60;"Intermediate";-43
"Apocynum ×floribundum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aquilegia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aquilegia canadensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aquilegia vulgaris";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabidopsis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arabidopsis thaliana";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arabis canadensis";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis glabra";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis hirsuta";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis hirsuta var. pycnocarpa";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis laevigata";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis laevigata var. burkii";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis laevigata var. laevigata";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis lyrata";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis missouriensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis patens";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arabis shortii";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aralia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aralia hispida";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aralia nudicaulis";"Perennial";"Spring and Summer";"Dark Green";5;7,2;32;50;"Tolerant";-38
"Aralia racemosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aralia racemosa ssp. racemosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Aralia spinosa";"Perennial";"Spring and Summer";"Green";4,8;6,6;35;80;"Intolerant";-25
"Arctium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arctium lappa";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arctium minus";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arctium tomentosum";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Arctostaphylos";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arctostaphylos uva-ursi";"Perennial";"Spring and Summer";"Dark Green";5,5;8;14;45;"Intermediate";-33
"Arenaria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arenaria serpyllifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Arethusa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arethusa bulbosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Argemone";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Argemone albiflora";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Argemone albiflora ssp. albiflora";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Argemone mexicana";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Argentina";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Argentina anserina";"Perennial";"Spring and Summer";"Green";7;8;11;40;"Tolerant";-23
"Arisaema";NA;NA;NA;NA;NA;NA;NA;NA;NA
